Gainsboro	#DCDCDC
Gamboge	#E49B0F
Gamboge Orange (Brown)	#996600
Granet	#733635
Gargoyle Gas	#FFDF46
Generic Viridian	#007F66
Ghost White	#F8F8FF
Giant's Club	#B05C52
Giants Orange	#FE5A1D
Ginger	#B06500
Glaucous	#6082B6
Glitter	#E6E8FA
Glossy Grape	#AB92B3
GO Green	#00AB66
Gold	#A57C00
Gold (Metallic)	#D4AF37
Gold (Web) (Golden)	#FFD700
Gold (Crayola)	#E6BE8A
Gold Fusion	#85754E
Gold Foil	#BD9B16
Golden Brown	#996515
Golden Poppy	#FCC200
Golden Yellow	#FFDF00
Goldenrod	#DAA520
Granite Gray	#676767
Granny Smith Apple	#A8E4A0
Grape	#6F2DA8
Gray (HTML/CSS Gray)	#808080
Gray (X11 Gray)	#BEBEBE
Gray-Asparagus	#465945
Gray-Blue	#8C92AC
Green	#008001
Green (Color Wheel) (X11 Green)	#00FF00
Green (Crayola)	#1CAC78
Green (HTML/CSS Color)	#008000
Green (Munsell)	#00A877
Green (NCS)	#009F6B
Green (Pantone)	#00AD43
Green (Pigment)	#00A550
Green (RYB)	#66B032
Green-Blue	#1164B4
Green-Cyan	#009966
Green Lizard	#A7F432
Green Sheen	#6EAEA1
Green-Yellow	#ADFF2F
Grizzly	#885818
Grullo	#A99A86
Guppie Green	#00FF7F
Gunmetal	#2a3439
Halayà Úbe	#663854
Halloween Orange	#EB6123
Han Blue	#446CCF
Han Purple	#5218FA
Hansa Yellow	#E9D66B
Harlequin	#3FFF00
Harlequin Green	#46CB18
Harvard Crimson	#C90016
Harvest Gold	#DA9100
Heart Gold	#808000
Heat Wave	#FF7A00
Heidelberg Red[2]	#960018
Heliotrope	#DF73FF
Heliotrope Gray	#AA98A9
Heliotrope Magenta	#AA00BB
Hollywood Cerise	#F400A1
Honeydew	#F0FFF0
Honolulu Blue	#006DB0
Hooker's Green	#49796B
Hot Magenta	#FF1DCE
Hot Pink	#FF69B4
Hunter Green	#355E3B
Iceberg	#71A6D2
Icterine	#FCF75E
Iguana Green	#71BC78
Illuminating Emerald	#319177
Imperial	#602F6B
Imperial Blue	#002395
Imperial Purple	#66023C
Imperial Red	#ED2939
Inchworm	#B2EC5D
Independence	#4C516D
India Green	#138808
Indian Red	#CD5C5C
Indian Yellow	#E3A857
Indigo	#4B0082
Indigo Dye	#091F92
Indigo (Rainbow)	#233067
Indigo (Web)	#4B0082
Infra Red	#FF496C
Interdimensional Blue	#360CCC
International Klein Blue	#002FA7
International Orange (Aerospace)	#FF4F00
International Orange (Engineering)	#BA160C
International Orange (Golden Gate Bridge)	#C0362C
Iris	#5A4FCF
Irresistible	#B3446C
Isabelline	#F4F0EC
Islamic Green	#009000
Italian Sky Blue	#B2FFFF
Ivory	#FFFFF0
Jacarta	#3D325D
Jacko Bean	#413628
Jade	#00A86B
Japanese Carmine	#9D2933
Japanese Indigo	#264348
Japanese Laurel	#2F7532
Japanese Violet	#5B3256
Jasmine	#F8DE7E
Jasper	#D73B3E
Jasper Orange	#DE8F4E
Jazzberry Jam	#A50B5E
Jelly Bean	#DA614E
Jelly Bean Blue	#44798E
Jet	#343434
Jet Stream	#BBD0C9
Jonquil	#F4CA16
Jordy Blue	#8AB9F1
June Bud	#BDDA57
Jungle Green	#29AB87
Kelly Green	#4CBB17
Kenyan Copper	#7C1C05
Keppel	#3AB09E
Key Lime	#E8F48C
Khaki (HTML/CSS) (Khaki)	#C3B091
Khaki (X11) (Light Khaki)	#F0E68C
Kiwi	#8EE53F
Kobe	#882D17
Kobi	#E79FC4
Kobicha	#6B4423
Kombu Green	#354230
KSU Purple	#512888
KU Crimson	#E8000D
La Salle Green	#087830
Languid Lavender	#D6CADD
Lapis Lazuli	#26619C
Laser Lemon	#FFFF66
Laurel Green	#A9BA9D
Lava	#CF1020
Lavender (Floral)	#B57EDC
Lavender (Web)	#E6E6FA
Lavender Blue	#CCCCFF
Lavender Blush	#FFF0F5
Lavender Gray	#C4C3D0
Lavender Indigo	#9457EB
Lavender Magenta	#EE82EE
Lavender Mist	#E6E6FA
Lavender Pink	#FBAED2
Lavender Purple	#967BB6
Lavender Rose	#FBA0E3
Lawn Green	#7CFC00
Lemon	#FFF700
Lemon Chiffon	#FFFACD
Lemon Curry	#CCA01D
Lemon Glacier	#FDFF00
Lemon Lime	#E3FF00
Lemon Meringue	#F6EABE
Lemon Yellow	#FFF44F
Lemon Yellow (Crayola)	#FFFF9F
